200049798-00171154,东莞快意,Y1.0F3-H,1,DNN,,DC110V,480*7*12*18-3M,有,CTRL90,海1387,10米,,"DOVER英文铭牌,主机型号打印为SC80L,载重打印2050kg","V型槽，β=103，γ=50，全英文资料，防护罩防护罩WYT-Y2D-FHZ.4，右置，包角＞145°NSK轴承,DOVER包装箱",2015/1/15,,,16E3B2A,,,,,华南
YN141217B,奥利夫,TA1.0C-H,1,MC,,DC220V,400*5*10*16,有,蓝光一体化,海1387,10米,,蓝光铭牌,D型,2015/1/8,,,BLB,,,,,北方
YE150105E,奥玛斯电梯（苏州）,TA1.0B-H,1,MC,,DC110V,400*4*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型  ,2015/1/6,,,BLB,,,20150102,,华东1
YE150202A,奥玛斯电梯（苏州）,TA1.0C-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型  ,2015/2/2,,,BLB,,,20150119,,华东1
YE150205H,奥玛斯电梯（苏州）,TA1.0D-H,1,MC,,DC110V,400*5*10*16,无,默纳克,海1387,7米,,蓝光铭牌  铭牌打2000KG 0.5M/S 4:1,D型,2015/2/6,,,BLB,,,20150204,,华东1
YE150105D,奥玛斯电梯（苏州）,TA1.0E-H,1,MC,,DC110V,400*5*10*16,无,默纳克,海1387,7米,,蓝光铭牌,D型,2015/1/6,,,BLB,,,20150101,,华东1
YE150119G,奥玛斯电梯（苏州）,TA1.75E-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌 ,D型,2015/1/21,,,BLB,,,20150110,,华东1
YE150126G,奥瑞斯电梯,TA1.0A-H,1,MC,,DC110V,400*4*10*16,无,默纳克,海1387,7米,,蓝光铭牌 ,D型,2015/1/27,,,BLB,,,A15-K-0179,,华东1
YE150116D,奥瑞斯电梯,TA1.0C-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌 ,D型,2015/1/19,,,BLB,,,A14-K-0099,,华东1
YE150302Ja,奥瑞斯电梯,U1.0DS-H,1,MM,,DC110V,480*7*12*18,有,默纳克,海1387,7米,,蓝光铭牌 ,D型,2015/3/3,,,BLB,,,A15-K-0199,,华东1
YN150209A,北方个人,DZE-14EAS,1,,,DC110V,,,,,,,,木箱包装,2015/2/9,,,,,,,,北方
YN150309B,北方个人,DZE-14EB2S,1,,,AC220V,,,,,,,,木箱包装，上出线,2015/3/9,,,,,,,,北方
YN150107B,北方个人,DZE-16E3B2,1,,,AC220V,,,,,,,,木包装 上出线,2015/1/7,,,,,,,,北方
200050630-00087683,东莞快意,Y2.5BC3-H,4,ANN,单,DC110V,410*6*10*16-3R,有,CTRL70A,海1387,10米,,蓝光英文铭牌,V型槽，β=103，γ=50，全英文资料，WYT-Y1C-FHZ.5防护罩， 左置，包角>145度，NSK轴承,2015/1/27,,,16E3B2A,,,,,华南
200051850-00087683,东莞快意,Y2.5BC3-H,4,ANN,单,DC110V,410*6*10*16-3R,有,CTRL70A,海1387,10米,,蓝光英文铭牌,V型槽，β=103，γ=50，全英文资料，WYT-Y1C-FHZ.5防护罩， 左置，包角>145度，NSK轴承,2015/3/9,,,16E3B2A,,,,,华南
YS150114J,长沙能达电梯,S1.75C-N,1,BCC,,AC220V,400*5*10*16,有,富士,多8192,7米,,蓝光铭牌,,2015/1/15,,,14EB2,,,,,华南
YS150302A,长沙能达电梯,TA1.75C-H,4,MC,,DC110V,400*5*10*16,有,CV,海1387,7米,,蓝光铭牌,,2015/3/3,,,BLB,,,,,华南
PO01501240003,广州广日,S1.75D-N,1,BCC,,DC110V,V400*5*10*16,有,华为,多8192,7米,,广日铭牌，作业号：16804638G,提供原点值,2015/1/28,,豆绿色,14EA,,,,,华南
PO01502020025.1,广州广日,TA1.0B-H,1,MC,,DC110V,V400*5*8*14-2M,无,新时达,海1387,7米,,广日铭牌，作业号：16818488A ,D型，提供原点值，β85 γ50 V型，防护罩用WYT-TA.6B,2015/2/2,,豆绿色,BLB,,,,,华南
PO01501160063.6,广州广日,TA1.0C-H,1,MC,,DC110V,V400*5*8*14-2M,无,新时达,海1387,7米,,广日铭牌，作业号：16818488D 载重打印825KG,D型，提供原点值，β85 γ50 V型，防护罩用WYT-TA.6B,2015/1/16,,豆绿色,BLB,,,,,华南
PO01501060059.1,广州广日,TA1.0D-H,2,MC,,DC110V,V400*6*8*14-2L,无,新时达,海1387,7米,,广日铭牌，作业号：16818488G 载重打印1050KG,D型，提供原点值，β85 γ50 V型，防护罩用WYT-TA.6B,2015/1/7,,豆绿色,BLB,,,,,华南
PO01503030009.4,广州广日,TA1.0E-H,1,MC,,DC110V,V400*6*8*14-2L,无,新时达,海1387,7米,,广日铭牌，作业号：16818488K,D型，提供原点值，β85 γ50 V型，防护罩用WYT-TA.6B,2015/3/5,,豆绿色,BLB,,,,,华南
PO01501050060.6,广州广日,TA1.75D-H,2,MC,,DC110V,V400*6*8*14-2L,无,新时达,海1387,7米,,广日铭牌，作业号：16818488H 载重打印1050KG,D型，提供原点值，β85 γ50 V型，防护罩用WYT-TA.6B,2015/1/5,,豆绿色,BLB,,,,,华南
YN150121D,大连李尔,TA1.0C-H,1,MC,,DC110V,400*4*10*16,无,新时达,海1387,7米,,蓝光铭牌,D型,2015/1/23,,,BLB,,,,,北方
YE2015-D00001,大众电梯,TA1.0D-H,1,MC,,DC110V,400*5*10*16,有,蓝光一体化,海1387,7米,,大众铭牌,D型,2015/3/5,,,BLB,,,2015-D00001,,华东1
YE150303D,德尔法电梯,S1.0B-H,1,BCC,,DC110V,400*4*10*16,无,默纳克,海1387,7米,7米,蓝光英文铭牌,D型，S出口包装,2015/3/5,,,14EA,,,D000525E,,华东1
YE150211B,德尔法电梯,S2.0D-H,4,BCC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型,2015/2/12,,,14EA,,,D000518-521,,华东1
YE150303E,德尔法电梯,TA1.0B-H,1,MC,,DC110V,400*4*10*16,有,默纳克,海1387,7米,,蓝光英文铭牌,D型，TA出口包装,2015/3/5,,,BLB,,,D000526E,,华东1
YE150305F,德尔法电梯,U1.0DS-H,1,MM,,DC110V,480*7*12*18,有,默纳克,海1387,7米,,蓝光英文铭牌，铭牌打1250KG,"D型, U型出口包装",2015/3/6,,,BLB,,,D000527K,,华东1
YE141231A,德森克,TA1.0B-H,1,MC,,DC110V,400*4*10*16,无,默纳克,海1387,7米,,蓝光铭牌,D型 ,2015/1/5,,,BLB,,,D2144,,华东1
YE150302Ga,德森克,TA1.0C-H,1,MC,,DC110V,400*5*10*16,无,默纳克,海1387,7米,,德森克铭牌，出厂编码打K2029,D型 ,2015/3/3,,,BLB,,,K2029,,华东1
YE150112M,德森克,TA1.0D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型 ,2015/1/13,,,BLB,,,D2203,,华东1
YE150205G,德森克,TA1.5D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,德森克铭牌，出厂编码打D2143,D型 ,2015/2/6,,,BLB,,,D2143,,华东1
YE150106L,德森克,TA2.0C-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型 ,2015/1/8,,,BLB,,,D2182,,华东1
YE150106M,德森克,TA2.0D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型 ,2015/1/8,,,BLB,,,D2183,,华东1
YE150204E,德森克,U1.0ES-H,1,MM,,DC110V,480*7*12*18,有,默纳克,海1387,7米,,德森克铭牌，出厂编码打D2287,D型 ,2015/2/5,,,BLB,,,D2287,,华东1
YE150107E,东奥克虏伯,TA1.0C-H,1,MC,,DC110V,400*5*10*16,无,蓝光一体化,海1387,8米,,蓝光铭牌,D型,2015/1/8,,,BLB,,,20141222-2,,华东1
YS150302G,东莞华图仕,TA1.0D-H,5,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型 ,2015/3/3,,,BLB,,,,,华南
YS150302F,东莞华图仕,TA1.75D-H,5,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型 ,2015/3/3,,,BLB,,,,,华南
PO01503020052.5,广州广日,TA1.75E-H,7,MC,,DC110V,400*6*10*16-2I,有,新时达,海1387,7米,,广日铭牌，作业号：16815735L,D型，提供原点值，β105 γ40  ,2015/3/3,,豆绿色,BLB,,,,,华南
PO01501060059.3,广州广日,TA2.0D-H,8,MC,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,广日铭牌，作业号：16815735J，载重打印1050KG,D型，提供原点值，β105 γ40 ,2015/1/7,,豆绿色,BLB,,,,,华南
PO01501050060.7,广州广日,TC1.75C-H,15,,,DC110V,V400*5*10*16,有,新时达,海1387,7米,,广日铭牌，铭牌载重打印825KG，作业号：16812648A,D型，提供原点值，β105 γ40 ,2015/1/5,,豆绿色,BLB,,,,,华南
YS150202G,东莞三洋,S1.5C-H,1,BCC,,AC220V,400*5*10*16,有,新时达,海1387,7米,,东莞三洋监制铭牌,D型 ,2015/2/3,,,14EB2,,,A.2015.01.043,,华南
YS150107B,东莞三洋,S1.75D-H,1,BCC,,AC220V,400*5*10*16,有,新时达,海1387,7米,,东莞三洋监制铭牌,D型,2015/1/8,,,14EB2,,,A.2010.10.042补,,华南
YS150107C,东莞三洋,TA1.5C-H,3,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,东莞三洋监制铭牌,D型,2015/1/8,,,BLB,,,A.2015.01.002-004 ,,华南
YS150127C,东莞三洋,TA1.5D-H,1,MC,,DC110V,400*5*10*16,有,新时达,海1387,7米,,东莞三洋监制铭牌,D型,2015/1/28,,,BLB,,,A.2015.01.034,,华南
YS150210A,东莞三洋,TA1.75C-H,1,MC,,DC110V,400*5*10*16,有,新时达,海1387,7米,,东莞三洋监制铭牌,D型,2015/2/11,,,BLB,,,A.2015.02.005,,华南
YS150107J,东莞三洋,TA1.75D-H,1,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,东莞三洋监制铭牌,D型,2015/1/8,,,BLB,,,东莞科迈电梯,,华南
YS150107K,东莞三洋,U1.75ES-H,1,MM,,DC110V,480*7*12*18,有,默纳克,海1387,7米,,东莞三洋监制铭牌,D型,2015/1/8,,,BLB,,,东莞科迈电梯,,华南
YS141231B,佛山南海赛奇,TA1.6C-H,2,MC,,DC110V,400*5*10*16,有,默纳克,海1387,7米,,蓝光铭牌,D型 ,2015/1/5,,,BLB,,,K0425-0426,,华南
